key,value
SEXXXXX-25,01/Nov/21 11:37 AM;xu.zhang;image-2021-11-01-11-37-03-320.png;https://cts.siengine.com:8443/secure/attachment/14141/image-2021-11-01-11-37-03-320.png
SEXXXXX-25,28/Oct/21 12:17 PM;tom.sun;由于使用手册是XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXxx待文档更新后会一致
SEXXXXX-25,28/Oct/21 6:51 PM;xu.zhang;请解答描述中的6个问题。
SEXXXXX-25,28/Oct/21 7:39 PM;tom.sun;上述信号XXXXXXXXXXXXXXXXXXXXXx
SEXXXXX-25,29/Oct/21 3:13 PM;bo.han;相关问题麻烦XXXXXXXXXXXXXXXX帮忙回复一下。谢谢
SEXXXXX-25,30/Oct/21 3:13 PM;bo.han;相关问题麻烦XXXXXXXXXXXXXXXX帮忙回复一下。谢谢
SEXXXXX-25,30/Oct/21 3:13 PM;bo.han;相关问题麻烦XXXXXXXXXXXXXXXX帮忙回复一下。谢谢
SEXXXXX-25,01/11/21 3:13 PM;bo.han;相关问题麻烦XXXXXXXXXXXXXXXX帮忙回复一下。谢谢
SEXXXXX-25,02/11/21 3:13 PM;bo.han;相关问题麻烦XXXXXXXXXXXXXXXX帮忙回复一下。谢谢
SEXXXXX-25,03/11/21 3:13 PM;bo.han;相关问题麻烦XXXXXXXXXXXXXXXX帮忙回复一下。谢谢
SEXXXXX-25,03/11/21 3:13 PM;bo.han;相关问题麻烦XXXXXXXXXXXXXXXX帮忙回复一下。谢谢
SEXXXXX-25,03/11/21 3:13 PM;bo.han;相关问题麻烦XXXXXXXXXXXXXXXX帮忙回复一下。谢谢
SEXXXXX-25,03/11/21 3:13 PM;bo.han;相关问题麻烦XXXXXXXXXXXXXXXX帮忙回复一下。谢谢
SEXXXXX-25,05/11/21 3:13 PM;bo.han;相关问题麻烦XXXXXXXXXXXXXXXX帮忙回复一下。谢谢
SEXXXXX-25,05/11/21 3:13 PM;bo.han;相关问题麻烦XXXXXXXXXXXXXXXX帮忙回复一下。谢谢
SEXXXXX-25,05/11/21 3:13 PM;bo.han;相关问题麻烦XXXXXXXXXXXXXXXX帮忙回复一下。谢谢
SEXXXXX-25,05/11/21 3:13 PM;bo.han;相关问题麻烦XXXXXXXXXXXXXXXX帮忙回复一下。谢谢
SEXXXXX-25,06/11/21 3:13 PM;bo.han;相关问题麻烦XXXXXXXXXXXXXXXX帮忙回复一下。谢谢
SEXXXXX-25,13/11/21 3:13 PM;bo.han;相关问题麻烦XXXXXXXXXXXXXXXX帮忙回复一下。谢谢
SEXXXXX-24,29/Oct/21 9:41 AM;xu.zhang;80-pe986-1a_k_sa8155_pmm8155au_qam815xp_pin_assignment_and_gpio_configuration_spreadsheet.xlsm;https://cts.siengine.com:8443/secure/attachment/14127/80-pe986-1a_k_sa8155_pmm8155au_qam815xp_pin_assignment_and_gpio_configuration_spreadsheet.xlsm
SEXXXXX-24,27/Oct/21 7:30 PM;tom.sun;我司XXXXXXXXXXXXXXXXXXXXXXX是否有样板
SEXXXXX-24,28/Oct/21 6:58 PM;xu.zhang;HSIS:HarXXXXXXXXXXXXXXXXXXXXXXXXX

一般是XXXXXXXXXXXXXXXXXXXXN脚配置说明。
SEXXXXX-24,28/Oct/21 7:36 PM;tom.sun;请问有模板吗，需要提供哪些必要信息？
SEXXXXX-24,29/Oct/21 9:46 AM;xu.zhang;附件XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
SEXXXXX-24,30/Oct/21 10:46 PM;tom.sun;SEXXXX EVB上XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
SEXXXXX-24,01/Nov/21 11:40 AM;xu.zhang;贵司内部交流使用的文件是否可以提供呢？正式文件后补。
SEXXXXX-24,01/Nov/21 2:13 PM;tom.sun;目前都还在review，有些中断pin要改位置，请最终参考年底的正式版本。目前由于没有正式文件，请参考下列内容：
|Pin name|EVB Net name|Assignment|Note|
|GPIO0|A2B_B_TDM0_SCK_R|Connect to 2nd A2B: I2S0_SCK|?|
|GPIO1|A2B_B_TDM0_WS|Connect to 2nd A2B: I2S0_WS|?|
|GPIO2|A2B_B_TDM0_DIN|Connect to 2nd A2B: I2S0_DI|?|
|GPIO3|A2B_B_TDM0_DOUT_R|Connect to 2nd A2B: I2S0_DO|?|
|GPIO4|SD_PWR_EN|Connect to uSD card power enable circuit|?|
|GPIO5|SW_I2S1_SCK_R|Connect to Wifi/BT module and PCIE M.2 by 1:2 mux: I2S1_SCK|?|
|GPIO6|SW_I2S1_WS|Connect to Wifi/BT module and PCIE M.2 by 1:2 mux: I2S1_WS|?|
|GPIO7|SW_I2S1_DIN|Connect to Wifi/BT module and PCIE M.2 by 1:2 mux: I2S1_DI|?|
|GPIO8|SW_I2S1_DOUT_R|Connect to Wifi/BT module and PCIE M.2 by 1:2 mux: I2S1_DO|?|
|GPIO9|SOC_HDR0|To pin header: GPIO or I2S_MCLK1|?|
|GPIO10|GNSS_UART0_TXD|To GNSS: PERI0_UART_0_TX|?|
|GPIO11|GNSS_UART0_RXD|To GNSS: PERI0_UART_0_RX|?|
|GPIO12|SMI_I2C1_SDA|To SMI130: PERI0_I2C_1_SDA|?|
|GPIO13|SMI_I2C1_SCL|To SMI130: PERI0_I2C_1_SCL|?|
|GPIO14|BT_UART1_TXD|To BT/WIFI module: PERI0_UART_1_TX|?|
|GPIO15|BT_UART1_RXD|To BT/WIFI module: PERI0_UART_1_RX|?|
|GPIO16|BT_UART1_CTS|To BT/WIFI module: PERI0_UART_1_CTS|?|
|GPIO17|BT_UART1_RTS|To BT/WIFI module: PERI0_UART_1_RTS|?|
|GPIO18|SER2_SPI1_SCLK_R|To DP Serializer: PERI0_SPI_MST_1_SCLK|?|
|GPIO19|SER2_SPI1_SS0|To DP Serializer: PERI0_SPI_MST_1_SS0|?|
|GPIO20|SER2_SPI1_MISO|To DP Serializer: PERI0_SPI_MST_1_MISO|?|
|GPIO21|SER2_SPI1_MOSI_R|To DP Serializer: PERI0_SPI_MST_1_MOSI|?|
|GPIO22|DESER_ERR0_N|CAM_ERROR_N0 input from CSI0/1/2/3 DeSerializer 96722 on Camera Board|?|
|GPIO23|SOC_HDR1|To pin header: GPIO or PERI0_SPI_MST_2_SCLK or PERI0_SPI_SLV_1_SCLK|?|
|GPIO24|SOC_HDR2|To pin header: GPIO or PERI0_SPI_MST_2_SS0 or PERI0_SPI_SLV_1_SS|?|
|GPIO25|SOC_HDR3|To pin header: GPIO or PERI0_SPI_MST_2_MISO or PERI0_SPI_SLV_1_MOSI or PERI0_I2C_4_SDA|?|
|GPIO26|SOC_HDR4|To pin header: GPIO or PERI0_SPI_MST_2_MOSI or PERI0_SPI_SLV_1_MISO or PERI0_I2C_4_SCL|?|
|GPIO27|SOC_HDR24|To pin header: GPIO or I2S_MCLK2|?|
|GPIO28|SOC_TDM2_SCK_R|Connect to Audio Card: I2S2_SCK|To Mercury|
|GPIO29|SOC_TDM2_FSYNC|Connect to Audio Card: I2S2_WS|To Mercury|
|GPIO30|SOC_TDM2_DI|Connect to Audio Card: I2S2_DI|To Mercury|
|GPIO31|SOC_TDM2_DO_R|Connect to Audio Card: I2S2_DO|To Mercury|
|GPIO32|SOC_TDM3_SCK_R|Connect to Audio Card: I2S3_SCK|To Mercury|
|GPIO33|SOC_TDM3_FSYNC|Connect to Audio Card: I2S3_WS|To Mercury|
|GPIO34|SOC_TDM3_DI|Connect to Audio Card: I2S3_DI|To Mercury|
|GPIO35|SOC_TDM3_DO_R|Connect to Audio Card: I2S3_DO|To Mercury|
|GPIO36|SER1_I2S4_SCK_R|To DSI1 Serializer: I2S4_SCK|For PSD audio|
|GPIO37|SER1_I2S4_WS|To DSI1 Serializer: I2S4_WS|For PSD audio|
|GPIO38|PCIE_RST_N|PCIE_RESET_N|To level shift circuit for PCIE connectors?|
|GPIO39|SER1_I2S4_DOUT_R|To DSI1 Serializer: I2S4_DO|For PSD audio|
|GPIO40|DISP_EN_CSD|To VI connector as DISP_EN_CSD|See block diagram|
|GPIO41|DISP_EN_PSD|To VI connector as DISP_EN_PSD/CSDM|See block diagram|
|GPIO42|DHU_RFDM_WAKE|To HSD connector as DHU_RFD M_WAKE_UP|See block diagram|
|GPIO43|SER1_INT_N|To DSI1 Serializer as LVDS2_INT|See block diagram|
|GPIO44|SER1_PDB_N|To DSI1 Serializer as LVDS2_PDB|See block diagram|
|GPIO45|SER0_INT_N|To DSI0 Serializer as LVD S1_INT/96752_Error|See block diagram|
|GPIO46|SER0_PDB_N|To DSI0 Serializer as LVD S1_PDB?|See block diagram|
